stem,v0,v_mean,ade,fde,lon_ade,lat_ade,hs_norm,error_msg
6ef36339-2789-4aeb-bfdf-1413cf4b2d03__11000000,5.7565,6.1893,2.5858,6.5518,2.3986,0.9513,116.7622,
07514f46-9e4f-4a18-80d0-5a937d6314ed__5000000,0.7895,0.27,2.3986,7.3519,2.3952,0.1207,89.8609,
97ee44d0-17e2-4d80-a59a-ed95f281b3e2__11000000,16.3014,19.7176,2.3784,6.0886,2.3745,0.0627,85.9962,
c107eb52-f4a1-416c-a84c-ed12ef995731__8000000,5.8148,2.9577,2.1186,5.7689,2.1186,0.0104,82.3514,
031ad9e1-fbc5-4d36-a463-4ff0f891cfd0__11000000,6.9189,11.9159,2.0884,5.87,2.0287,0.4531,113.945,
c1abb6ab-1000-4dc6-91a2-c004034e4f4c__11000000,10.2421,11.3089,2.0338,6.0866,2.0297,0.1221,81.7743,
494c81b8-118e-46fc-8a5a-c9aad7e599ba__8000000,3.0511,1.7873,2.0214,6.2126,2.0214,0.0019,100.384,
1c0d6278-48b8-4777-adfe-b169c73cbcf2__5000000,14.5518,11.7284,1.9729,5.996,1.9725,0.0352,77.25,
67b442bf-007a-4308-ab33-9135afcad8fc__11000000,18.128,18.2808,1.9523,5.5104,1.9508,0.0752,84.6411,
d429ba5c-d2af-49cf-b7d7-b308ba9d2f8d__5000000,2.8395,6.5751,1.9522,6.0176,1.9518,0.0369,107.8833,
91e06f33-ec6d-48da-99fd-c1994e52e9e0__8000000,5.5844,6.7431,1.9394,5.6704,1.9391,0.0373,89.6606,
31c53aac-1ca8-4017-8259-6cfef29da41c__11000000,18.0055,21.0047,1.9162,6.0077,1.7928,0.6736,94.0261,
401183a4-c15d-4411-b16b-e642e7060874__11000000,1.4912,0.8541,1.9126,5.5454,1.9126,0.0052,100.1944,
1aabd6a9-f0d3-4323-98b5-422c46ec4179__11000000,4.4338,4.3978,1.8994,5.3946,1.8994,0.0106,122.3038,
5fee9fce-4ccd-40e0-996d-1d60199a98e8__8000000,10.8172,7.9242,1.8883,5.7515,1.8881,0.0182,78.7846,
b92b32bd-b4e8-4033-a9ce-0ccffb5635d4__8000000,10.432,12.716,1.8842,4.4778,1.8832,0.0577,122.1995,
89e84330-3bfd-4197-bcd7-c3daadad2fd0__8000000,4.7442,8.3218,1.8832,5.5149,1.8801,0.1018,81.3907,
4a8c0773-961b-462b-94b5-dccfbdf0f8cb__2000000,1.5994,3.6472,1.8831,5.5738,1.8831,0.0097,80.5471,
6777d04d-11ac-41fb-87f1-b43882bfb07c__8000000,11.9468,9.5126,1.8804,6.579,1.4139,1.2389,74.3043,
28a38d68-f024-4527-8acf-a6ac25b68f0a__8000000,13.2639,13.0208,1.8792,6.1795,1.4286,1.2026,85.2975,
10e626bd-de21-4009-9b3a-f656f27d5ea4__8000000,1.83,5.3458,1.8572,5.8521,1.8087,0.3867,80.0156,
fa8f74f0-3997-4779-a5c1-ab8395f89121__8000000,1.1232,0.763,1.8527,5.3701,1.8527,0.0014,80.6712,
af3ab754-8028-414a-9d37-57647e1f3a2a__5000000,1.9916,3.9032,1.8494,5.3519,1.8493,0.0089,85.8707,
63c40f7f-8a74-4230-9139-0580bb46e0c7__5000000,8.7401,3.2565,1.8305,5.6146,1.8304,0.0187,82.7864,
5e4e9987-7c5b-4aaf-91f7-4880e8c66867__5000000,10.9344,8.3607,1.7935,5.1456,1.7933,0.0222,84.4644,
49e7cf97-d6fd-4bc0-bb9e-57e8a881fa13__5000000,20.29,17.2757,1.7868,5.316,1.7861,0.0292,79.3952,
8a0314b1-c098-4f03-91ae-75612c693025__11000000,11.7357,13.5537,1.7192,5.2157,1.7182,0.0556,117.1675,
45d59194-bf5a-4c7c-bdc7-d9dc977be62b__5000000,2.9641,5.3695,1.7185,5.3448,1.7185,0.0064,78.4249,
6b7b33de-4c26-477c-a8d1-24d1deb531ec__8000000,9.8215,2.9393,1.691,3.2044,1.6908,0.0224,106.3943,
b7a6cb3a-44d3-40e7-9553-12cb002dd17c__11000000,12.0275,11.3481,1.6903,5.9318,1.6902,0.0073,124.0937,
9a7464b6-705f-4a0d-a1af-89de955a0803__5000000,11.5213,15.6345,1.6632,5.0229,1.6629,0.0244,90.3502,
687fd026-f314-4f08-a890-496fe3e4d606__2000000,5.6815,3.5018,1.6315,4.688,1.6315,0.0091,82.8111,
524c3fc6-6d5e-428c-83d1-00a8eed91bab__8000000,9.252,6.5259,1.6109,5.0004,1.608,0.0897,78.7267,
314d209c-24da-44cb-8425-33a1b35184c2__2000000,3.1395,4.3001,1.6039,5.0238,1.5867,0.229,80.1315,
f893d1c3-f67e-4456-a400-476954b7e952__5000000,2.883,0.8713,1.5959,4.285,1.5935,0.0773,92.984,
914f0361-5b92-4797-a9dc-2a567316e748__8000000,21.9508,21.7045,1.5815,4.1021,1.5783,0.1008,96.6585,
2b00cbec-2c4c-48c6-9f6f-7b80b1c7f373__2000000,16.8043,17.3768,1.5771,4.886,1.5768,0.0308,71.5073,
03f89e28-a303-41cd-a751-138a54e87952__11000000,2.1589,4.6528,1.575,4.6088,1.575,0.0155,82.073,
6777d04d-11ac-41fb-87f1-b43882bfb07c__11000000,6.2454,6.814,1.5719,4.3465,1.5704,0.061,81.8741,
7e1789e5-07a1-4de4-bf80-6ff9d142ac22__8000000,16.4945,17.7604,1.5572,4.521,1.5544,0.0685,83.0866,
6659ad6d-3ecf-463c-8a8d-defa10733457__2000000,1.4913,2.9856,1.5501,4.8621,1.55,0.0166,87.7866,
f004eb12-c0d1-4001-abdb-31a9f8545af6__11000000,5.2522,5.1661,1.5479,4.5045,1.525,0.2563,118.1297,
b025a3df-737f-454c-a919-cc31fa1387ca__5000000,2.3317,2.5351,1.5461,4.5606,1.546,0.0175,92.0705,
66c60cc5-618c-49e9-89c6-10e6e4d1df7a__5000000,12.6371,12.9524,1.5401,4.9283,1.5392,0.0482,81.08,
f7115283-fb11-4664-be6d-82a7695a15a4__5000000,1.7166,0.5408,1.5293,3.9975,1.5293,0.0065,90.2774,
fb574b92-e944-4b45-a9c0-f906c3124552__11000000,11.4065,11.301,1.5285,4.4939,1.5255,0.0951,95.2165,
85a25b55-878e-423a-91e2-ac957eae1ae4__8000000,3.1559,4.9128,1.526,4.9493,1.5259,0.0071,79.1737,
112b498f-bffe-4f66-b90b-5b96f4653526__8000000,0.0132,2.8302,1.5069,4.203,1.5069,0.0038,85.3517,
d89d8fe4-001e-42a9-8b20-dcbdb01f3016__2000000,1.8964,3.5949,1.4962,4.8383,1.4883,0.1385,80.7825,
2cbd261c-0b7c-4277-b392-39b30f373b23__8000000,3.1095,4.8536,1.4954,4.2417,1.4938,0.0601,90.6215,
291be9f8-580e-4a53-8050-05898c108e80__5000000,9.287,1.9503,1.4887,3.3669,1.4879,0.043,104.9342,
b446b523-b689-4b76-8246-281381bc1ba9__2000000,0.9356,2.6237,1.4823,4.3568,1.4576,0.2524,77.9646,
5db8344e-d356-4dcd-a9ac-40c8375fa999__2000000,0.0,2.5344,1.4591,4.5652,1.4591,0.0021,80.6389,
