clip_id,ade_mlp,ade_def,fde_mlp,fde_def,rmse_mlp,rmse_def,p95_mlp,p95_def,sr_rms_mlp,sr_rms_def,jerk_rms_mlp,jerk_rms_def,effort_mlp,effort_def,diverged_mlp,diverged_def,gain_ade_pct,gain_rmse_pct,n_frames
038f7d4f-1aea-45_pcl_sim,0.193781,0.265824,0.046114,0.055214,0.236825,0.326560,0.401385,0.532275,0.000764,0.000878,0.052551,0.038846,37.036409,39.839164,False,False,27.101606,27.478927,121
070045ab-dbfe-4b_pcl_sim,0.449955,0.384698,0.513377,0.540817,0.667110,0.542217,1.380200,0.993368,0.011264,0.009062,0.077730,0.037203,93.368894,81.891438,False,False,-16.963287,-23.033672,120
07f29fab-47bb-4b_pcl_sim,0.077361,0.069004,0.116040,0.119256,0.091033,0.080303,0.158066,0.142292,0.001169,0.001219,0.014614,0.013806,2.738164,2.865853,False,False,-12.110192,-13.361420,121
1160e823-f375-42_pcl_sim,0.360510,0.587540,0.158663,0.236360,0.395197,0.708880,0.553765,1.370205,0.011011,0.007457,0.128937,0.069477,172.738020,188.424764,False,False,38.640867,44.250508,121
11ff8141-5f4d-49_pcl_sim,0.129995,0.294778,0.327110,0.715913,0.161574,0.383801,0.342033,0.686327,0.000878,0.000936,0.059736,0.016081,73.138391,70.345663,False,False,55.900538,57.901651,120
14b7b959-d08e-43_pcl_sim,0.650062,0.545766,0.810641,0.609174,0.815894,0.611115,1.640912,0.906262,0.006728,0.005820,0.114234,0.055586,139.827207,112.516676,False,False,-19.109971,-33.509017,120
2026e5c3-44e7-49_pcl_sim,0.628701,0.548080,1.960139,0.712697,0.996982,0.821665,2.161039,1.853354,0.004406,0.006022,0.149346,0.102610,194.083501,235.922339,False,False,-14.709756,-21.336891,120
22fc5d07-da04-45_pcl_sim,0.335068,0.617070,0.850048,0.937344,0.387703,0.715366,0.704531,1.387516,0.007053,0.004766,0.122016,0.081476,209.045789,222.118909,False,False,45.700119,45.803443,120
24138ccd-f1cf-4c_pcl_sim,0.603421,0.769890,0.748239,1.289274,0.669891,0.892221,1.014630,1.454242,0.009548,0.009884,0.122875,0.063789,322.908170,323.275154,False,False,21.622355,24.918771,120
35a4f319-224a-45_pcl_sim,0.274969,0.149413,0.196299,0.273196,0.384105,0.188510,0.775338,0.368725,0.001444,0.001628,0.050647,0.022848,14.928075,14.963601,False,False,-84.032891,-103.758465,120
3783a0df-469f-41_pcl_sim,0.382699,0.667351,0.319937,0.481837,0.433448,0.788881,0.732834,1.497453,0.009383,0.007000,0.107911,0.063835,202.991624,227.673243,False,False,42.654000,45.055261,120
399265b7-8bce-4a_pcl_sim,0.342970,0.422596,0.947110,1.555368,0.424582,0.583414,0.904306,1.222498,0.003118,0.002898,0.158360,0.066150,291.157447,229.335915,False,False,18.842023,27.224645,120
3f2d0388-3e97-43_pcl_sim,0.275493,0.364302,0.550199,0.322770,0.296122,0.394566,0.440166,0.576962,0.003552,0.003109,0.081474,0.061221,77.030147,83.714525,False,False,24.377696,24.950034,120
40773a7b-8fc8-4b_pcl_sim,0.416698,0.541861,0.651029,0.654955,0.459576,0.617807,0.775876,1.115849,0.007931,0.006278,0.104302,0.077710,126.390101,147.574867,False,False,23.098824,25.611673,120
